id,titulo,año,pais,tipo
261,Candy Candy (Serie de TV),1976,Japón,Serie de TV
262,Vida privada,2018,Estados Unidos,Película
263,La mujer de la montaña,2018,Islandia,Película
264,Ana de las tejas verdes (TV),1985,Canadá,TV
265,Dictado,2012,España,Película
266,Ema,2019,Chile,Película
267,La vergüenza,2009,España,Película
268,Canción de cuna,1994,España,Película
269,Annie,2014,Estados Unidos,Película
270,Marsella,2014,España,Película
271,Arnold (Serie de TV),1978,Estados Unidos,Serie de TV
272,Serenata nostálgica,1941,Estados Unidos,Película
273,Los chicos de diciembre,2007,Australia,Película
274,Rastros de sándalo,2014,España,Película
275,Proceso de admisión,2013,Estados Unidos,Película
276,La adopción,2015,España,Película
277,"Foster, la casa de los amigos imaginarios (Serie de TV)",2004,Estados Unidos,Serie de TV
278,Flirteando con el desastre,1996,Estados Unidos,Película
279,La pequeña Lola,2004,Francia,Película
280,Welcome to the Rileys,2010,Estados Unidos,Película
281,El rey león,1994,Estados Unidos,Película
282,Casablanca,1942,Estados Unidos,Película
283,Ace Ventura: Operación África,1995,Estados Unidos,Película
284,Diamante de sangre,2006,Estados Unidos,Película
285,El paciente inglés,1996,Reino Unido,Película
286,Memorias de África,1985,Estados Unidos,Película
287,Black Hawk derribado,2001,Estados Unidos,Película
288,El jardinero fiel,2005,Reino Unido,Película
289,Capitán Phillips,2013,Estados Unidos,Película
290,Hotel Rwanda,2004,Reino Unido,Película
291,Madagascar,2005,Estados Unidos,Película
292,Tarzán,1999,Estados Unidos,Película
293,La reina de África,1951,Estados Unidos,Película
294,El último rey de Escocia,2006,Reino Unido,Película
295,Black Panther,2018,Estados Unidos,Película
296,El príncipe de Zamunda,1988,Estados Unidos,Película
297,El rey león,2019,Estados Unidos,Película
298,Lágrimas del sol,2003,Estados Unidos,Película
299,Madagascar 2,2008,Estados Unidos,Película
300,Beasts of No Nation,2015,Estados Unidos,Película
301,Palmeras en la nieve,2015,España,Película
302,El rey león 2: El tesoro de Simba,1998,Estados Unidos,Película
303,Gorilas en la niebla,1988,Estados Unidos,Película
304,Congo,1995,Estados Unidos,Película
305,La joya del Nilo,1985,Estados Unidos,Película
306,Los dioses deben estar locos,1980,Botswana,Película
307,Taboo (Serie de TV),2017,Reino Unido,Serie de TV
308,Mogambo,1953,Estados Unidos,Película
309,13 Horas: Los soldados secretos de Bengasi,2016,Estados Unidos,Película
310,Adú,2020,España,Película
311,"Cazador blanco, corazón negro",1990,Estados Unidos,Película
312,Amar peligrosamente,2003,Estados Unidos,Película
313,Una tribu en la cancha,1994,Estados Unidos,Película
314,Los demonios de la noche,1996,Estados Unidos,Película
315,"Greystoke, la leyenda de Tarzán",1984,Estados Unidos,Película
316,La pesadilla de Darwin,2004,Francia,Película
317,Juntos y revueltos,2014,Estados Unidos,Película
318,El rey león 3: Hakuna Matata,2004,Estados Unidos,Película
319,Hatari,1962,Estados Unidos,Película
320,El niño que domó el viento,2019,Reino Unido,Película
321,La masai blanca,2005,Alemania,Película
322,Timbuktu,2014,Mauritania,Película
323,El soldado de Dios,2011,Estados Unidos,Película
324,Las minas del rey Salomón,1985,Estados Unidos,Película
325,Kirikú y la bruja,1998,Francia,Película
326,El cielo protector,1990,Reino Unido,Película
327,Timón y Pumba (Serie de TV),1995,Estados Unidos,Serie de TV
328,Mandela. Del mito al hombre,2013,Sudáfrica,Película
329,El cuaderno de Sara,2018,España,Película
330,El séptimo sello,1957,Suecia,Película
331,Gambito de dama (Miniserie de TV),2020,Estados Unidos,Miniserie de TV
332,El secreto de Thomas Crown,1999,Estados Unidos,Película
333,El juego de Geri (C),1997,Estados Unidos,Cortometraje
334,Innocent Moves (En busca de Bobby Fischer),1993,Estados Unidos,Película
335,El caso Fischer,2014,Estados Unidos,Película
336,Jaque al asesino,1992,Estados Unidos,Película
337,La tabla de Flandes,1994,Reino Unido,Película
338,Hijo de Caín,2013,España,Película
339,El caso de Thomas Crown,1968,Estados Unidos,Película
340,Fresh,1994,Estados Unidos,Película
341,La defensa Luzhin,2001,Reino Unido,Película
342,El jugador de ajedrez,2017,España,Película
343,La reina de Katwe,2016,Estados Unidos,Película
344,"No Game, No Life (Serie de TV)",2014,Japón,Serie de TV
345,El juego más frío,2019,Polonia,Película
346,Los jugadores de ajedrez,1977,India,Película
347,"Fingers, ataque terrorista",2006,Estados Unidos,Película
348,AlphaGo,2017,Estados Unidos,Película
349,Bobby Fischer Against the World,2011,Estados Unidos,Película
350,Computer Chess,2013,Estados Unidos,Película
351,La diagonal del loco,1984,Suiza,Película
352,La jugadora,2009,Francia,Película
353,El juego de Arcibel,2003,Argentina,Película
354,Fahim,2019,Francia,Película
355,Colombo: La partida más peligrosa (TV),1973,Estados Unidos,TV
356,La fiebre del ajedrez (C),1925,Unión Soviética (URSS),Cortometraje
357,"5150, Rue des Ormes",2009,Canadá,Película
358,Jaque mate (Serie de TV),2011,Canadá,Serie de TV
359,The Dark Horse,2014,Nueva Zelanda,Película
360,A Chess Dispute (C),1903,Reino Unido,Cortometraje
361,El jugador de ajedrez (TV),1978,Alemania del Oeste (RFA),TV
362,Juego de reyes,1960,Alemania del Oeste (RFA),Película
363,Inspirations (C),2012,España,Cortometraje
364,Game Over: Kasparov and the Machine,2004,Reino Unido,Película
365,Una llamada a las doce,1965,Reino Unido,Película
366,Life of a King,2013,Estados Unidos,Película
367,Pensamiento crítico,2019,Estados Unidos,Película
368,La mujer con las botas rojas,1974,Francia,Película
369,Headspace: El rostro del mal,2005,Estados Unidos,Película
370,Judit contra todos (Ep),2020,España,TV
371,Capablanca,1987,Cuba,Película
372,Los caballeros del sur del Bronx (TV),2005,Estados Unidos,TV
373,El sacrificio de Ulises (C),2011,España,Cortometraje
374,El duelo fantástico (C),2013,España,Cortometraje
375,Magnus,2016,Noruega,Película
376,La otra cara de la luna,2000,España,Película
377,Zatoichi and the Chess Expert,1965,Japón,Película
378,Brooklyn Castle,2012,Estados Unidos,Película
379,La defensa del dragón,2017,Colombia,Película
380,Leaving Las Vegas,1995,Estados Unidos,Película
381,El vuelo (Flight),2012,Estados Unidos,Película
382,Ha nacido una estrella,2018,Estados Unidos,Película
383,Californication (Serie de TV),2007,Estados Unidos,Serie de TV
384,Solas,1999,España,Película
385,My Blueberry Nights,2007,Hong Kong,Película
386,The Master,2012,Estados Unidos,Película
387,Días de vino y rosas,1962,Estados Unidos,Película
388,Shameless (Serie de TV),2011,Estados Unidos,Serie de TV
389,Corazón rebelde,2009,Estados Unidos,Película
390,La chica del tren,2016,Estados Unidos,Película
391,Colossal,2016,Canadá,Película
392,Veredicto final,1982,Estados Unidos,Película
393,Bird,1988,Estados Unidos,Película
394,Días sin huella,1945,Estados Unidos,Película
395,28 días,2000,Estados Unidos,Película
396,Aquí y ahora,2013,Estados Unidos,Película
397,Cuando un hombre ama a una mujer,1994,Estados Unidos,Película
398,Escrito sobre el viento,1956,Estados Unidos,Película
399,Ruta suicida,1977,Estados Unidos,Película
400,Bad Santa,2003,Estados Unidos,Película
401,La noche de la iguana,1964,Estados Unidos,Película
402,Melodía de seducción,1989,Estados Unidos,Película
403,Factotum,2005,Noruega,Película
404,¿Podrás perdonarme algún día?,2018,Estados Unidos,Película
405,Submarino,2010,Dinamarca,Película
406,Joe,2013,Estados Unidos,Película
407,Los amantes del Pont-Neuf,1991,Francia,Película
408,Otra ronda,2020,Dinamarca,Película
409,"Fat City, ciudad dorada",1972,Estados Unidos,Película
410,El fuego fatuo,1963,Francia,Película
411,El borracho,1987,Estados Unidos,Película
412,Retorno a Brideshead,2008,Reino Unido,Película
413,Así somos (People Like Us),2012,Estados Unidos,Película
414,The Way Back,2020,Estados Unidos,Película
415,A Esmorga,2014,España,Película
416,Mom (Serie de TV),2013,Estados Unidos,Serie de TV
417,Retorno a Brideshead (Miniserie de TV),1981,Reino Unido,Miniserie de TV
418,"No te preocupes, no llegará lejos a pie",2018,Estados Unidos,Película
419,Guerreros de antaño,1994,Nueva Zelanda,Película
420,El monstruo de St. Pauli,2019,Alemania,Película
421,Alrededor de la medianoche,1986,Francia,Película
422,Country Strong,2010,Estados Unidos,Película
423,Patrick Melrose (Miniserie de TV),2018,Reino Unido,Miniserie de TV
424,Tocando fondo,2012,Estados Unidos,Película
425,Bajo el volcán,1984,Estados Unidos,Película
426,Dodes 'Ka-Den (Dodeskaden),1970,Japón,Película
427,Despertar en el infierno,1971,Australia,Película
428,Trees Lounge (Una última copa),1996,Estados Unidos,Película
429,Julia,2008,Francia,Película
430,127 horas,2010,Estados Unidos,Película
431,Everest,2015,Estados Unidos,Película
432,Máximo riesgo,1993,Estados Unidos,Película
433,Descenso,2005,Reino Unido,Película
434,Límite vertical,2000,Estados Unidos,Película
435,Free Solo,2018,Estados Unidos,Película
436,Tocando el vacío,2003,Reino Unido,Película
437,Licencia para matar,1975,Estados Unidos,Película
438,Vertige,2009,Francia,Película
439,El paso del diablo,2013,Reino Unido,Película
440,El ascenso,2017,Francia,Película
441,The Dawn Wall,2017,Austria,Película
442,Un lugar solitario para morir,2011,Reino Unido,Película
443,Pura vida. The Ridge,2012,España,Película
444,Meru: odisea en el Himalaya,2015,Estados Unidos,Película
445,Valley Uprising,2014,Estados Unidos,Película
446,Kilian Jornet: Camino al Everest,2017,España,Película
447,Grito de piedra,1991,Alemania,Película
448,Mountain,2017,Australia,Película
449,Nordwand (Cara norte),2008,Alemania,Película
450,K2,1991,Reino Unido,Película
451,La montaña siniestra,1956,Estados Unidos,Película
452,Nanga Parbat,2010,Alemania,Película
453,The Beckoning Silence (La llamada del silencio) (TV),2007,Reino Unido,TV
454,"Cinco días, un verano",1982,Estados Unidos,Película
455,A Fine Line,2012,Francia,Película
456,Al filo de lo imposible (Serie de TV),1982,España,Serie de TV
457,"Gasherbrum, la montaña luminosa (TV)",1984,Alemania del Oeste (RFA),TV
458,Déjame vivir,2014,España,Película
459,Cholitas,2019,Bolivia,Película
460,Más allá de las cimas,2009,Francia,Película
461,The Wildest Dream: Conquest of Everest,2010,Estados Unidos,Película
462,The Summit,2012,Irlanda,Película
463,Into the Mind,2013,Canadá,Película
464,La montaña trágica,1950,Estados Unidos,Película
465,Venganza en la cumbre,2010,Estados Unidos,Película
466,Tchang (C),2010,España,Cortometraje
467,Bajo cero (TV),2005,Estados Unidos,TV
468,Avalancha: Pánico en la cumbre,2004,Canadá,Película
469,"Everest, entre la gloria y la tragedia",1998,Estados Unidos,Película
470,Traición en la montaña (Ascenso mortal),2004,Estados Unidos,Película
471,Sherpa,2015,Australia,Película
472,Everest (Miniserie de TV),2007,Canadá,Miniserie de TV
473,Zabardast,2018,Francia,Película
474,Solo. Escalada a la vida,2014,España,Película
475,A ciegas,2006,Reino Unido,Película
476,K2. Tocando el cielo,2015,Polonia,Película
477,Exit,2019,Corea del Sur,Película
478,Prisioneros de la montaña,1929,Alemania,Película
479,Solo la montaña sabe la verdad (TV),2011,Alemania,TV
480,El hijo de la novia,2001,Argentina,Película
481,"Nader y Simin, una separación",2011,Irán,Película
482,Arrugas,2011,España,Película
483,Siempre Alice,2014,Estados Unidos,Película
484,El padre,2020,Reino Unido,Película
485,Vivir dos veces,2019,España,Película
486,Iris,2001,Reino Unido,Película
487,Lejos de ella,2006,Canadá,Película
488,Regreso a casa,2014,China,Película
489,Poesía,2010,Corea del Sur,Película
490,"Bicicleta, cuchara, manzana",2010,España,Película
491,Remember,2015,Canadá,Película
492,¿Y tú quién eres?,2007,España,Película
493,La memoria del asesino,2003,Bélgica,Película
494,Quédate conmigo,2012,Canadá,Película
495,Memorias de un asesino,2017,Corea del Sur,Película
496,La caja de pandora,2008,Turquía,Película
497,Los años más bellos de una vida,2019,Francia,Película
498,"Descansa en paz, Dick Johnson",2020,Estados Unidos,Película
499,Inolvidable (C),2019,Francia,Cortometraje
500,Bucarest. La memoria perdida,2008,España,Película
501,Amanecer de un sueño,2008,España,Película
502,Más fuerte que el olvido,2018,Estados Unidos,Película
503,Hilarity for Charity (TV),2018,Estados Unidos,TV
504,Hermann (C),2020,España,Cortometraje
505,Exile (Miniserie de TV),2011,Reino Unido,Miniserie de TV
506,Supernova,2020,Reino Unido,Película
507,Acordarse de cosas bellas,2001,Francia,Película
508,Remember Me (Recuérdame),2019,Estados Unidos,Película
509,Eligiendo morir (TV),2011,Reino Unido,TV
510,La primera cita,2018,España,Película
511,Anacos (C),2012,España,Cortometraje
512,Nadar,2008,España,Película
513,Undone (C),2019,Sudáfrica,Cortometraje
514,Mrs. Fang,2017,China,Película
515,Tutto quello che vuoi,2017,Italia,Película
516,Vilafranca (TV),2018,España,TV
517,Las buenas hierbas,2010,México,Película
518,Mamma Gogo,2010,Islandia,Película
519,Sacrificios del corazón (TV),2007,Estados Unidos,TV
520,Una juventud sin límites,2010,Italia,Película
521,Cartas a María,2014,España,Película
522,El mundo de Marty,2000,Francia,Película
523,Glen Campbell: I'll Be Me,2014,Estados Unidos,Película
524,Con la cabeza llena de miel,2018,Alemania,Película
525,Una canción para Martin,2001,Suecia,Película
526,El Señor Manolo,2014,España,Película
527,Ayúdame a recordar (C),2012,España,Cortometraje
528,Cortex,2008,Francia,Película
529,El último mohicano,1992,Estados Unidos,Película
530,La misión,1986,Reino Unido,Película
531,El nuevo mundo,2005,Estados Unidos,Película
532,El signo del Zorro,1940,Estados Unidos,Película
533,Hernán (Serie de TV),2019,España,Serie de TV
534,El Zorro (Serie de TV),1957,Estados Unidos,Serie de TV
535,La carroza de oro,1952,Francia,Película
536,La marca del Zorro,1920,Estados Unidos,Película
537,La última cena,1976,Cuba,Película
538,El capitán de Castilla,1947,Estados Unidos,Película
539,Cabeza de Vaca,1990,México,Película
540,La colonia perdida (Fantasmas de Roanoke) (TV),2007,Bulgaria,TV
541,Into the West (Miniserie de TV),2005,Estados Unidos,Miniserie de TV
542,El manto negro,1991,Canadá,Película
543,"Yo, la peor de todas",1990,Argentina,Película
544,El último Mohicano,1920,Estados Unidos,Película
545,Jamestown (Serie de TV),2017,Reino Unido,Serie de TV
546,El último mohicano,1936,Estados Unidos,Película
547,Jericó,1990,Venezuela,Película
