,id_peli,titulo,año,pais,tipo,puntuacion,votos,decada,genero
72,31,The Guys: El coraje de todos,2002,Estados Unidos,Película,5.14,59,2000,11-S
73,31,The Guys: El coraje de todos,2002,Estados Unidos,Película,5.14,59,2000,Drama
74,31,The Guys: El coraje de todos,2002,Estados Unidos,Película,5.14,59,2000,Bomberos
75,32,American Folk,2017,Estados Unidos,Película,6.2,59,2010,11-S
76,32,American Folk,2017,Estados Unidos,Película,6.2,59,2010,Drama
77,32,American Folk,2017,Estados Unidos,Película,6.2,59,2010,Cine independiente USA
78,32,American Folk,2017,Estados Unidos,Película,6.2,59,2010,Musical
79,33,11 de septiembre de 2001 – Engaño global,2006,Italia,Película,6.76,55,2000,Documental
80,33,11 de septiembre de 2001 – Engaño global,2006,Italia,Película,6.76,55,2000,11-S
81,33,11 de septiembre de 2001 – Engaño global,2006,Italia,Película,6.76,55,2000,Terrorismo
82,33,11 de septiembre de 2001 – Engaño global,2006,Italia,Película,6.76,55,2000,Aviones
83,35,Loose Change: Final Cut,2007,Estados Unidos,Película,6.82,45,2000,Documental
84,35,Loose Change: Final Cut,2007,Estados Unidos,Película,6.82,45,2000,11-S
85,37,9/11: The Falling Man,2006,Reino Unido,Película,6.2,41,2000,Documental
86,37,9/11: The Falling Man,2006,Reino Unido,Película,6.2,41,2000,11-S
87,38,"Zona Cero, en busca de las pruebas",2007,Reino Unido,Película,5.87,31,2000,Documental
88,38,"Zona Cero, en busca de las pruebas",2007,Reino Unido,Película,5.87,31,2000,11-S
89,38,"Zona Cero, en busca de las pruebas",2007,Reino Unido,Película,5.87,31,2000,Mediometraje
90,39,Titanic,1997,Estados Unidos,Película,6.81,177813,1990,Drama
91,39,Titanic,1997,Estados Unidos,Película,6.81,177813,1990,Basado en hechos reales
92,39,Titanic,1997,Estados Unidos,Película,6.81,177813,1990,Romance
93,39,Titanic,1997,Estados Unidos,Película,6.81,177813,1990,Drama romántico
94,39,Titanic,1997,Estados Unidos,Película,6.81,177813,1990,Catástrofes
95,39,Titanic,1997,Estados Unidos,Película,6.81,177813,1990,Aventuras
96,39,Titanic,1997,Estados Unidos,Película,6.81,177813,1990,3-D
97,39,Titanic,1997,Estados Unidos,Película,6.81,177813,1990,Titanic
98,39,Titanic,1997,Estados Unidos,Película,6.81,177813,1990,Cine épico
99,40,Avatar,2009,Estados Unidos,Película,7.19,161772,2000,Acción
100,40,Avatar,2009,Estados Unidos,Película,7.19,161772,2000,Romance
101,40,Avatar,2009,Estados Unidos,Película,7.19,161772,2000,Bélico
102,40,Avatar,2009,Estados Unidos,Película,7.19,161772,2000,Aventuras
103,40,Avatar,2009,Estados Unidos,Película,7.19,161772,2000,3-D
104,40,Avatar,2009,Estados Unidos,Película,7.19,161772,2000,Ciencia ficción
105,40,Avatar,2009,Estados Unidos,Película,7.19,161772,2000,Fantástico
106,40,Avatar,2009,Estados Unidos,Película,7.19,161772,2000,Naturaleza
107,40,Avatar,2009,Estados Unidos,Película,7.19,161772,2000,Extraterrestres
108,41,Toy Story,1995,Estados Unidos,Película,7.73,156709,1990,Animación
109,41,Toy Story,1995,Estados Unidos,Película,7.73,156709,1990,Aventuras
110,41,Toy Story,1995,Estados Unidos,Película,7.73,156709,1990,3-D
111,41,Toy Story,1995,Estados Unidos,Película,7.73,156709,1990,Fantástico
112,41,Toy Story,1995,Estados Unidos,Película,7.73,156709,1990,Comedia
113,41,Toy Story,1995,Estados Unidos,Película,7.73,156709,1990,Infantil
114,41,Toy Story,1995,Estados Unidos,Película,7.73,156709,1990,Muñecos
115,41,Toy Story,1995,Estados Unidos,Película,7.73,156709,1990,Pixar
116,41,Toy Story,1995,Estados Unidos,Película,7.73,156709,1990,Cine familiar
117,42,Up,2009,Estados Unidos,Película,7.9,140359,2000,Amistad
118,42,Up,2009,Estados Unidos,Película,7.9,140359,2000,Animación
119,42,Up,2009,Estados Unidos,Película,7.9,140359,2000,Aventuras
120,42,Up,2009,Estados Unidos,Película,7.9,140359,2000,3-D
121,42,Up,2009,Estados Unidos,Película,7.9,140359,2000,Comedia
122,42,Up,2009,Estados Unidos,Película,7.9,140359,2000,Infantil
123,42,Up,2009,Estados Unidos,Película,7.9,140359,2000,Pixar
124,42,Up,2009,Estados Unidos,Película,7.9,140359,2000,Cine familiar
125,42,Up,2009,Estados Unidos,Película,7.9,140359,2000,Vejez/Madurez
126,43,La bella y la bestia,1991,Estados Unidos,Película,7.32,114100,1990,Romance
127,43,La bella y la bestia,1991,Estados Unidos,Película,7.32,114100,1990,Animación
128,43,La bella y la bestia,1991,Estados Unidos,Película,7.32,114100,1990,Musical
129,43,La bella y la bestia,1991,Estados Unidos,Película,7.32,114100,1990,3-D
130,43,La bella y la bestia,1991,Estados Unidos,Película,7.32,114100,1990,Fantástico
131,43,La bella y la bestia,1991,Estados Unidos,Película,7.32,114100,1990,Infantil
132,43,La bella y la bestia,1991,Estados Unidos,Película,7.32,114100,1990,Cuentos
133,44,Toy Story 3,2010,Estados Unidos,Película,7.92,113800,2010,Animación
134,44,Toy Story 3,2010,Estados Unidos,Película,7.92,113800,2010,Aventuras
135,44,Toy Story 3,2010,Estados Unidos,Película,7.92,113800,2010,3-D
136,44,Toy Story 3,2010,Estados Unidos,Película,7.92,113800,2010,Fantástico
137,44,Toy Story 3,2010,Estados Unidos,Película,7.92,113800,2010,Comedia
138,44,Toy Story 3,2010,Estados Unidos,Película,7.92,113800,2010,Infantil
139,44,Toy Story 3,2010,Estados Unidos,Película,7.92,113800,2010,Muñecos
140,44,Toy Story 3,2010,Estados Unidos,Película,7.92,113800,2010,Pixar
141,44,Toy Story 3,2010,Estados Unidos,Película,7.92,113800,2010,Cine familiar
142,44,Toy Story 3,2010,Estados Unidos,Película,7.92,113800,2010,Secuela
143,45,Toy Story 2,1999,Estados Unidos,Película,7.05,113523,1990,Animación
144,45,Toy Story 2,1999,Estados Unidos,Película,7.05,113523,1990,Aventuras
145,45,Toy Story 2,1999,Estados Unidos,Película,7.05,113523,1990,3-D
146,45,Toy Story 2,1999,Estados Unidos,Película,7.05,113523,1990,Fantástico
147,45,Toy Story 2,1999,Estados Unidos,Película,7.05,113523,1990,Comedia
148,45,Toy Story 2,1999,Estados Unidos,Película,7.05,113523,1990,Infantil
149,45,Toy Story 2,1999,Estados Unidos,Película,7.05,113523,1990,Muñecos
150,45,Toy Story 2,1999,Estados Unidos,Película,7.05,113523,1990,Pixar
151,45,Toy Story 2,1999,Estados Unidos,Película,7.05,113523,1990,Cine familiar
152,45,Toy Story 2,1999,Estados Unidos,Película,7.05,113523,1990,Secuela
153,46,Pesadilla antes de Navidad,1993,Estados Unidos,Película,7.69,101822,1990,Película de culto
154,46,Pesadilla antes de Navidad,1993,Estados Unidos,Película,7.69,101822,1990,Romance
155,46,Pesadilla antes de Navidad,1993,Estados Unidos,Película,7.69,101822,1990,Animación
156,46,Pesadilla antes de Navidad,1993,Estados Unidos,Película,7.69,101822,1990,Musical
157,46,Pesadilla antes de Navidad,1993,Estados Unidos,Película,7.69,101822,1990,3-D
158,46,Pesadilla antes de Navidad,1993,Estados Unidos,Película,7.69,101822,1990,Fantástico
159,46,Pesadilla antes de Navidad,1993,Estados Unidos,Película,7.69,101822,1990,Terror
160,46,Pesadilla antes de Navidad,1993,Estados Unidos,Película,7.69,101822,1990,Comedia de terror
161,46,Pesadilla antes de Navidad,1993,Estados Unidos,Película,7.69,101822,1990,Monstruos
162,46,Pesadilla antes de Navidad,1993,Estados Unidos,Película,7.69,101822,1990,Halloween
163,46,Pesadilla antes de Navidad,1993,Estados Unidos,Película,7.69,101822,1990,Navidad
164,46,Pesadilla antes de Navidad,1993,Estados Unidos,Película,7.69,101822,1990,Stop Motion
165,46,Pesadilla antes de Navidad,1993,Estados Unidos,Película,7.69,101822,1990,Animación para adultos
166,47,Los Simpson: La película,2007,Estados Unidos,Película,6.18,96397,2000,Animación
167,47,Los Simpson: La película,2007,Estados Unidos,Película,6.18,96397,2000,3-D
168,47,Los Simpson: La película,2007,Estados Unidos,Película,6.18,96397,2000,Comedia
169,47,Los Simpson: La película,2007,Estados Unidos,Película,6.18,96397,2000,Familia
170,47,Los Simpson: La película,2007,Estados Unidos,Película,6.18,96397,2000,Los Simpson
171,48,Gravity,2013,Estados Unidos,Película,6.91,87280,2010,Thriller
172,48,Gravity,2013,Estados Unidos,Película,6.91,87280,2010,Drama
173,48,Gravity,2013,Estados Unidos,Película,6.91,87280,2010,3-D
174,48,Gravity,2013,Estados Unidos,Película,6.91,87280,2010,Aventura espacial
175,48,Gravity,2013,Estados Unidos,Película,6.91,87280,2010,Supervivencia
176,49,El Hobbit: Un viaje inesperado,2012,Nueva Zelanda,Película,6.96,82379,2010,Acción
177,49,El Hobbit: Un viaje inesperado,2012,Nueva Zelanda,Película,6.96,82379,2010,Aventuras
178,49,El Hobbit: Un viaje inesperado,2012,Nueva Zelanda,Película,6.96,82379,2010,3-D
179,49,El Hobbit: Un viaje inesperado,2012,Nueva Zelanda,Película,6.96,82379,2010,Fantástico
180,49,El Hobbit: Un viaje inesperado,2012,Nueva Zelanda,Película,6.96,82379,2010,Fantasía medieval
181,49,El Hobbit: Un viaje inesperado,2012,Nueva Zelanda,Película,6.96,82379,2010,Espada y brujería
182,49,El Hobbit: Un viaje inesperado,2012,Nueva Zelanda,Película,6.96,82379,2010,Precuela
183,50,Los vengadores,2012,Estados Unidos,Película,6.9,79027,2010,Acción
184,50,Los vengadores,2012,Estados Unidos,Película,6.9,79027,2010,3-D
185,50,Los vengadores,2012,Estados Unidos,Película,6.9,79027,2010,Ciencia ficción
186,50,Los vengadores,2012,Estados Unidos,Película,6.9,79027,2010,Fantástico
187,50,Los vengadores,2012,Estados Unidos,Película,6.9,79027,2010,Superhéroes
188,50,Los vengadores,2012,Estados Unidos,Película,6.9,79027,2010,Cómic
189,50,Los vengadores,2012,Estados Unidos,Película,6.9,79027,2010,Marvel Comics
190,51,Alicia en el país de las maravillas,2010,Estados Unidos,Película,5.96,78873,2010,Animación
191,51,Alicia en el país de las maravillas,2010,Estados Unidos,Película,5.96,78873,2010,Aventuras
192,51,Alicia en el país de las maravillas,2010,Estados Unidos,Película,5.96,78873,2010,3-D
193,51,Alicia en el país de las maravillas,2010,Estados Unidos,Película,5.96,78873,2010,Fantástico
194,51,Alicia en el país de las maravillas,2010,Estados Unidos,Película,5.96,78873,2010,Cuentos
195,52,Del revés (Inside Out),2015,Estados Unidos,Película,7.77,77757,2010,Infancia
196,52,Del revés (Inside Out),2015,Estados Unidos,Película,7.77,77757,2010,Animación
197,52,Del revés (Inside Out),2015,Estados Unidos,Película,7.77,77757,2010,Aventuras
198,52,Del revés (Inside Out),2015,Estados Unidos,Película,7.77,77757,2010,3-D
199,52,Del revés (Inside Out),2015,Estados Unidos,Película,7.77,77757,2010,Fantástico
200,52,Del revés (Inside Out),2015,Estados Unidos,Película,7.77,77757,2010,Comedia
201,52,Del revés (Inside Out),2015,Estados Unidos,Película,7.77,77757,2010,Pixar
202,52,Del revés (Inside Out),2015,Estados Unidos,Película,7.77,77757,2010,Familia
203,53,Guerra Mundial Z,2013,Estados Unidos,Película,6.11,71358,2010,Thriller
204,53,Guerra Mundial Z,2013,Estados Unidos,Película,6.11,71358,2010,Acción
205,53,Guerra Mundial Z,2013,Estados Unidos,Película,6.11,71358,2010,3-D
206,53,Guerra Mundial Z,2013,Estados Unidos,Película,6.11,71358,2010,Ciencia ficción
207,53,Guerra Mundial Z,2013,Estados Unidos,Película,6.11,71358,2010,Terror
208,53,Guerra Mundial Z,2013,Estados Unidos,Película,6.11,71358,2010,Pandemias
209,53,Guerra Mundial Z,2013,Estados Unidos,Película,6.11,71358,2010,Zombis
210,54,La vida de Pi,2012,Estados Unidos,Película,7.12,66637,2010,Drama
211,54,La vida de Pi,2012,Estados Unidos,Película,7.12,66637,2010,Religión
212,54,La vida de Pi,2012,Estados Unidos,Película,7.12,66637,2010,Infancia
213,54,La vida de Pi,2012,Estados Unidos,Película,7.12,66637,2010,Aventuras
214,54,La vida de Pi,2012,Estados Unidos,Película,7.12,66637,2010,3-D
215,54,La vida de Pi,2012,Estados Unidos,Película,7.12,66637,2010,Supervivencia
216,54,La vida de Pi,2012,Estados Unidos,Película,7.12,66637,2010,Años 60
217,54,La vida de Pi,2012,Estados Unidos,Película,7.12,66637,2010,Años 70
218,54,La vida de Pi,2012,Estados Unidos,Película,7.12,66637,2010,Aventuras marinas
219,54,La vida de Pi,2012,Estados Unidos,Película,7.12,66637,2010,Animales
220,55,Harry Potter y las reliquias de la muerte - Parte 2,2011,Reino Unido,Película,7.05,65049,2010,Drama
221,55,Harry Potter y las reliquias de la muerte - Parte 2,2011,Reino Unido,Película,7.05,65049,2010,Aventuras
222,55,Harry Potter y las reliquias de la muerte - Parte 2,2011,Reino Unido,Película,7.05,65049,2010,3-D
223,55,Harry Potter y las reliquias de la muerte - Parte 2,2011,Reino Unido,Película,7.05,65049,2010,Cine épico
