id_gen,genero
353,Pato Donald
354,Neorrealismo
355,Giallo
356,Fashion Film
357,Siglo XIII
358,Siglo XII
359,Esgrima
360,Siglo XI
361,J-Horror
362,Fan Film
363,Realismo poético francés
364,Pantera rosa
365,Guerra de Independencia Americana
366,Siglo X
367,Flamenco
368,Cinema novo brasileño
369,Expresionismo alemán
370,Sketches
371,Wrestling/Lucha libre
372,Entrevista
373,Preescolar
374,Webserie / Serie Online
375,Conciertos
376,CrossFit
377,Lego
378,Documental marino
379,Mockbuster
380,Fotografía
381,Dictadura chilena
382,Guerra de las Malvinas
383,Dictadura República Dominicana
384,Dictadura uruguaya
385,Doctor Who
386,Hockey sobre hielo
387,Dogma
388,Historia de Indonesia
389,Guerra Civil Camboyana
390,Documental sobre videojuegos
391,eSports
392,Película interactiva
393,James Bond
394,Película Mondo
395,Motion Comic
396,Pixel Art
397,Guerra de la Independencia Española
398,Guerra Civil de El Salvador
399,Revolución Sandinista
400,Guerra de Corea
401,Guerra de Cuba
402,Guerra de Siria
403,Serie [Alfred Hitchcock presenta]
404,Judo
405,Krimi
406,Serie [Pesadillas y alucinaciones]
407,RV
408,Serie [What a Cartoon!]
409,Siglo VII
410,Siglo VIII
