,id_peli,titulo,año,pais,tipo,puntuacion,votos,decada
83,8479,"Ríe, payaso, ríe (Laugh, Clown, Laugh)",1928,Estados Unidos,Película,7.2,123,1920
84,9023,Tempestad sobre Asia,1928,Unión Soviética (URSS),Película,7.01,333,1920
85,9298,La última orden,1928,Estados Unidos,Película,7.76,800,1920
86,9315,El undécimo año,1928,Unión Soviética (URSS),Película,6.96,117,1920
87,9324,La tempestad,1928,Estados Unidos,Película,6.44,61,1920
88,478,Prisioneros de la montaña,1929,Alemania,Película,6.93,76,1920
89,2639,El hombre de la cámara,1929,Unión Soviética (URSS),Película,8.06,5710,1920
90,5202,Días de juventud,1929,Japón,Película,6.05,97,1920
91,5268,La caja de Pandora (Lulú),1929,Alemania,Película,7.58,1630,1920
92,5278,Asfalto,1929,Alemania,Película,7.06,192,1920
93,10887,Titanic: Disaster in the Atlantic,1929,Reino Unido,Película,5.55,33,1920
94,3365,Montecarlo,1930,Estados Unidos,Película,6.62,308,1930
95,6695,Sin novedad en el frente,1930,Estados Unidos,Película,7.82,6660,1930
96,9010,Tierra (Zemlya),1930,Unión Soviética (URSS),Película,7.48,928,1930
97,9152,Bajo los techos de París,1930,Francia,Película,6.91,659,1930
98,9167,La Petite Lise,1930,Francia,Película,6.79,47,1930
99,10622,La edad de oro,1930,Francia,Película,7.24,4380,1930
100,920,El enemigo público,1931,Estados Unidos,Película,7.59,4017,1930
101,2300,El campeón,1931,Estados Unidos,Película,7.1,734,1930
102,2745,Luces de la ciudad,1931,Estados Unidos,Película,8.59,31582,1930
103,3341,Un gran reportaje,1931,Estados Unidos,Película,6.73,292,1930
104,3363,La jaula de oro,1931,Estados Unidos,Película,6.53,348,1930
105,3367,Esta noche o nunca,1931,Estados Unidos,Película,6.08,190,1930
106,4172,La mujer milagro,1931,Estados Unidos,Película,6.7,315,1930
107,5263,"M, el vampiro de Düsseldorf",1931,Alemania,Película,8.32,19729,1930
108,7742,El doctor Frankenstein,1931,Estados Unidos,Película,7.49,17913,1930
109,9151,Viva la libertad,1931,Francia,Película,7.2,767,1930
110,9155,El millón (The Million),1931,Francia,Película,6.75,263,1930
111,11102,Drácula,1931,Estados Unidos,Película,7.13,7276,1930
112,682,Tarzán de los monos,1932,Estados Unidos,Película,6.66,21021,1930
113,808,La momia,1932,Estados Unidos,Película,6.84,3870,1930
114,2096,La locura del dólar,1932,Estados Unidos,Película,7.11,559,1930
115,2459,El malvado Zaroff,1932,Estados Unidos,Película,6.93,2040,1930
116,2828,La parada de los monstruos,1932,Estados Unidos,Película,8.2,22025,1930
117,3321,Un ladrón en la alcoba,1932,Estados Unidos,Película,7.71,2834,1930
118,3336,Una hora contigo,1932,Estados Unidos,Película,6.77,781,1930
119,5264,"Vampyr, la bruja vampiro",1932,Alemania,Película,7.39,4674,1930
120,5695,Plumas de caballo,1932,Estados Unidos,Película,7.05,2931,1930
121,6702,Adiós a las armas,1932,Estados Unidos,Película,6.62,2468,1930
122,6710,Remordimiento,1932,Estados Unidos,Película,8.02,1572,1930
123,8662,Pasto de tiburones,1932,Estados Unidos,Película,6.73,257,1930
124,9328,Rasputin y la zarina,1932,Estados Unidos,Película,6.2,51,1930
125,10116,El doble asesinato en la calle Morgue,1932,Estados Unidos,Película,6.34,1089,1930
126,11044,El expreso de Shanghai,1932,Estados Unidos,Película,7.23,2261,1930
127,11279,La legión de los hombres sin alma,1932,Estados Unidos,Película,6.31,1861,1930
